Label,Y0,Y1
CITY OF LONDON REAL PROPERTY COMPANY LIMITED,,(
STATEMENT OF,,
FOR THE YEAR ENDED 31 MARCH,,2021
Property management and administrative,,(3245)
Loss on disposal of investment,,
Profit on disposal of subsidiaries 9,9,301516
"Net deficit on revaluation of investment properties 8 (52,094)",(52094),6614)
Operating profit,,281731
Profit before,,
Profit and total comprehensive income for the financial year,,285488
There were no recognised gains or losses for 2021 or 2020 other than those included in the Statement of Comprehensive,,285488
All amounts are derived from continuing,,285488
