Number,revenueY0,revenueY1,turnoverY0,turnoverY1,costofsalesY0,costofsalesY1,grossprofitY0,grossprofitY1,distributionexpensesY0,distributionexpensesY1,profitbeforetaxY0,profitbeforetaxY1
00001160,,,,,,,34554,36217,,,286369,22.618
00010341,,,,,,,,,,,,
00034871,,,,,,,,,,,,
00105461,,,,,,,,,,,,
00119432,,,,,,,,,,,,
00149328,,,,,,,,,,,,
00160314,,,,,,,,,,,,
00171167,,,59447(34414),,,,25033,,,,,
00190237,,,5903,52805494,,,,,,,,
00198509,,,83597086,69536596,(77674112),(62930892),6605,704,,,13134,1443084
00215444,,,40255910,36182879,,,,1800668,,,4157705,2070357
00235815,,,64500,56851,,,17822,16080,,,,
00245626,65952,,,,,,9836,7489,,,,4042
00248875,,,,740,,,962,18437,,,623,3616
00249316,,,49304,49526,,,13917,12206,,,,
00260752,,,39966,44373,,,4535,4741,,,,
00303523,,,,,,,,,,,,
00308273,,,945,70732670,,,880427,22469040,,,,324
00418878,,,86465,215544,(56342),(109654),30123,105890,,,,
00450787,,,58241,53827,,,1221,,,,5927,3558
00457573,,,46124023,,,,17837892.,6152879,,,,
00457936,35574,,,,,,,20189,,,,4247
00465947,52199350,53400337,,,18511043,18870106,33688307,34530231,,,1351034,815565
00482106,,,48892,36602,,,,,,,,
00505212,,,48728592,,,,,468592,,,,602486
00505456,,,,,,,,,,,,
00530446,,,,142224,,,,23479409,,,5643243,4263680
00531793,,,68149997,63752222,,,,9750069,,,,290175
00533692,,,71847869,86714183,,,17413968,,,,4372358,2916615
00534798,,,,,,,4955,8598,,,,
00547743,,,,,,,,,,,,
00571641,,,778,191,,,13569143,16578623,,,6622,160
00615334,,,,,,,,,,,,
00623420,,,,,,,,,,,,
00653648,,,71155,68463,(58665),(53732),12490,14731,,,,
00782931,,,75875500,68752259,(59460472),(52922779),16415028,15829480,,,,
00786457,,,,,,,,,,,,
00796740,,,,753963,,,14459,769,,,100,
00797672,54930,48654,,,(50814),(44923),373,,,,,
00856254,,,,,,,634,563,,,,
00895081,82100,96282,,,,,7635,13363,,,,
00902920,66913609,80758644,,,51334626,58408858,15578983,22349786,,,9823100,14838441
00949665,,,,73063,,(40480),,32583,,,,
00961477,,,,,,,,,,,,
00968396,,,652(598)54,,,,17294,19236,,,123,
00979716,,,,,,,,26683,,,,
00995076,,,,396702,,,2937627,4555544,,,2281,034
01015506,,,76928001,67956986,,,32796156,28515536,,,,
1010230,,,,13.120,(95289),(99.958),12900,,,,748,269
133804,,,,9968,,,80671,75432,,,8299,13095
1419,,,,,,,,,,,,
197807,401,076,,,,,380740,389885,,,70489,120398
198823,,,196499,209752,(126809),(139285),69690,70467,,,23532,18663
199171,,,125524,132687,(12388,,7799,8806,,,,
204368,313258,306348,,,(210273),(210881),,95467,,,17013,2868
22215,,,,,,,,,,,,
242372,,,,,,,,,,,,
