Number,revenueY0,revenueY1,turnoverY0,turnoverY1,costofsalesY0,costofsalesY1,grossprofitY0,grossprofitY1,distributionexpensesY0,distributionexpensesY1,profitbeforetaxY0,profitbeforetaxY1
00001160,44033,45188,,,,,34554,36217,,,286369,22.618
00119432,,,,,,,,,,,,
00171167,,,43823,59447,(27250),(34414),16573,25033,,,4785,
00190237,,,5903,52805494,,,,,,,,
02626708,,,40289274,34780594,,,6165833,,,,3020490,2205832
00001160,44033,45188,,,,,34554,36217,,,286369,22.618
00119432,,,,,,,,,,,,
00171167,,,43823,59447,(27250),(34414),16573,25033,,,4785,
00190237,,,5903,52805494,,,,,,,,
00249316,,,49304,49526,,,13917,12206,,,,
00260752,,,39966,44373,,,4535,4741,,,,
00308273,,,945,70732670,,,880427,22469040,,,,324
00418878,,,,15544,(56342),(109654),30123,105890,,,,
00450787,,,58241,53827,,,14033,12217,,,5927,3558
02626708,,,40289274,34780594,,,6165833,,,,3020490,2205832
00001160,,,,,,,34554,36217,,,286369,22.618
00010341,,,,,,,,,,,,
00034871,,,,,,,,,,,,
00105461,100),,,,,,,,,,,
00119432,,,,,,,,,,,,
00149328,,,37031441,66834909,,,,,,,3203256,2478922
00160314,,,,,,,,,,,,
00171167,,,,,(27250),(34414),16573,25033,,,4785,
00190237,,,,,,,,,,,,
00198509,,,,,(77674112),(62930892),6605,704,,,513134,1443084
00215444,,,,,,,13203242,11800668,,,4157705,2070357
00235815,,,,,,,17822,16080,,,,
00245626,,,,,,,9836,7489,,,,
00248875,,,,,,,962,18437,,,623,3616
00249316,,,,,,,13917,12206,,,,
00260752,,,,,,,4535,4741,,,,
00303523,,,,,,,,,,,,
00308273,,,,,,,880427,22469040,,,,324
00418878,,,,,(56342),(109654),30123,105890,,,,
00450787,,123),,,,,14033,12217,,,5927,3558
00457573,,,,,,,17837892,6152879,,,,
00457936,,140,,,,,,20189,,,8915,4247
00465947,,,,53.4),18511043,18870106,33688307,34530231,,,1351034,815565
00482106,,,,,,,24173,,,,,
00505212,,,,,,,,468592,,,,602486
00505456,,,,,,,,,,,,
00530446,,,,,,,23634313,23479409,,,5643243,4263680
00531793,,,,6814999763752222,,,,9750069,,,,290175
00533692,22.80.,,,,,,10904875,17413968,,,4372358,2916615
00534798,,,,,,,,,,,,
00547743,,,93.8,(2019,,,,,,,,
00571641,,,,,,,13569143,16578623,,,6622,160
00615334,,,,,,,,,,,,
00623420,,,,,,,,,,,,
00653648,,,,,(58665),(53732),12490,14731,,,,
00782931,,,,,(59460472),(52922779),16415028,15829480,,,,
00786457,,,,,,,,,,,2202505,2309307
00796740,,,,,,,14459,769,,,784,100
00797672,,,,,(50814),(44923),373,,,,,
00856254,,2020.,61622,69345,,,,,,,,
00895081,,,,28090,,,7635,13363,,,,
00902920,(1008247),(817418),,,1334626,58408858,15578983,22349786,,,,
00949665,,,,73063,,(40480),,32583,,,3984,19252
00961477,85107,81014,,,,,,,,,,
00968396,,,,,,,292,,,,,
00979716,,,,,,,,26683,,,,
00995076,,396702,,396702,,,2937627,4555544,,,2281,034
01015506,,,,,,,32796156,28515536,,,,
01083749,,,,,,,,29,,,(6809),3.020
01103675,,,,,(41826),(46360),15431,18480,,,2914,
01110225,,,,,,,11377863,13398663,,,4063595,3674042
01178568,,,,,,(31123703)(50997934),12368479,10696205,,,,138278
01194446,,,,,,,20291355,23070065,,,1801551,635855
01210595,,,,,,,3924277,5378802,,,,
01248588,,,,,(38567),,,1633,,,,
01269006,,,,,,,24622818,28728.987,,,2814173,5269553
01270585,,,,,,,8871,128,,,5296537,5364552
01281596,050),42666,,,,,(1433),16413,,,,
01376182,,,,,(18178),(67598),(615),18457,,,,
01386085,9254402,7164170,,,(65412942),(65126259),3555123,4481525,,,19347,385035
01394005,,,,,,,10394884,12286792,,,2908121,2448788
01432090,,,,,,,,,,,,
01437311,,,,,,,48603656,43694234,,,6265365,4380421
01485558,,,,,,,40189,41717,,,100218,43031
01508155,,,80949,109259,,,,076,,,,
01514754,46964633,70707471,,,(26507338),,23193982,43956196,,,(7597036),2164179
01577740,70267,133006,,,(35172),(52741),29966,80213,,,(17813),4926
01603760,,,,,,,19619404,19355793,,,,322266
01664145,,,,,(50242),(26387),17382,8217,,,7324,2863
01664519,59877,64757,59877,64757,,,12508,12787,(8721,,(738),133
01710361,,,,,,,3161315,32113954,,,,
01735454,72502,137349,,,(36731),(55007),26563,79754,,,(19443),331
01749908,,,,,,(28702)(37086),8102,(8327),,,,
01761717,,,,44097900,,,24518992,21516205,,,,
01793462,,,,,,,8325548,8186601,,,,
01802721,,,,,,,3015968,8722394,,,1429,20701
01829759,,,,,,,,3143,,,5746,3249
01854132,312020.1854132()1()()..()....1.12.......1.13..220202019000000395681506581741265547195610.9747055192466599124642524,,()3()312020.185413220200001213230144320190001417891506..750000(2019924000).4()202065000(2019128000).20202020000247563285882(1962)1982(487)34804(15255)33425882376756201925,,,,,,,,,
01870320,,,,8.96,,,43937,43762,,,,
01883830,,,47528847.(36485467),5483637742063285,(37284754),(42063285),40244093,12773092,,,,
01889043,,,,,,,4073207,4434516,,,4663270,2535901
01897313,,,,,,,3731,381,,,374691,299726
01949111,,,,,,,33238,34232,,,2095,4375
01954945,,,,873,,,24804,,,,5.9,).
01990227,,,,,(24784),(28913),15239,22223,,,,3490
02004963,,,,,,,70501,36683,,,,
02026808,,,,,(5631,18684),23781467,20992727,,,6828237,4208449
02150688,,,,,,,8659235,15566380,,,(1507157),599236
02156066,,,,,,,51688413,232248957,,,,
02196742,,,,,,,,,,,,
02203474,,,2.4,(2019,,,,,,,,1295
02207440,,,,,(1081239),,16536589,15564741,,,,
02263856,,,,,,,28002694,25721391,,,2208079,2300412
02310474,,).,,,,,,,,,,
02343739,,,,,,,4805530,5515895,,,,021296
02412526,,,,,,,8688954,6857710,,,29875,
02459442,,,,,,,,,,,,
02467207,,,,,,,6091,9617,,,,
02474645,,,,2020,,,27167709,35559236,(8934585),(9747489),,
02484251,,,,,,,18266212,14371976,,,,
